"","ID","HEI","Title-ES","Title-EN","Content-ES","Content-EN","Description-ES","Description-EN","Area","Modality","Target","Level","Workload","Language","Photo","Evaluation","Certification","Keywords","Contact"
"26",26,"Universidad Nacional De Río Negro","Formación para Mandos Medios y Gerenciales en gestión y liderazgo","Training for middle and senior managers in management and leadership","Comunicación Poder, Desempeño y Reputación Liderazgo Administración del Tiempo Metodologías Ágiles Delegación efectiva Presentaciones Orales  Análisis y resolución de problemas Gestión de equipos de trabajo de alto desempeño Conflicto y negociación Gestión del Cambio","Communication Power, Performance, and Reputation Leadership Time Management Agile Methodologies Effective Delegation Oral Presentations Analysis and Problem Solving High-Performance Team Management Conflict and Negotiation Change Management","El presente programa tiene por fin brindar herramientas a los mandos medios de empresas y organnismos públicos. Para ello se persiguen los objetivos que se detallan a continuación.
● Establecer un ámbito de indagación y participación activa en el cual se exploren los diversos aspectos a tener en cuenta en la formación de los mandos medios a fin de lograr relaciones laborales efectivas y de alto desempeño basadas en la confianza y la empatía.
● Indagar respecto de las habilidades y prácticas del liderazgo, y entenderlo en el contexto organizacional específico (estructura, estrategia y cultura organizacional): ¿de qué manera la división de tareas y su coordinación facilita o dificulta la gestión de personas? ¿cómo influye el propio desempeño y la reputación en la formación de líderes? ¿qué rol tienen los líderes respecto a la formación y el mantenimiento de la cultura?
● Revisar las propias prácticas: ¿Qué habilidades humanas, técnicas o conceptuales serán necesarias para convertirse en líder del propio equipo? ¿Qué aspectos de la relación “supervisor – supervisado” se pueden mejorar, y de qué forma, para componer una relación más efectiva? ¿Cuáles son las prácticas que utilizan las jefaturas actualmente? ¿De qué manera están afectando esas prácticas los objetivos de la organización? ¿De qué forma las prácticas actuales nos acercan o alejan de los valores organizacionales?
● Conocer diversos estilos de liderazgo según el contexto y los grupos: ¿qué estilo de liderazgo resulta ser más efectivo según el caso? ¿Cómo se mejora el propio estilo de liderazgo?
● Reflexionar acerca del significado del trabajo del “Jefe” o “Jefa”: ¿es necesario remodelar la concepción tradicional de este tipo de cargos? ¿Qué le piden las empresas al “Jefe” o a la “Jefa” en estos días? ¿sirve la gestión “tradicional” en tiempos y ámbitos de trabajo basado en el conocimiento? ¿en qué aspectos se diferencian el ser jefe/jefa o líder? ¿De qué factores depende la construcción del liderazgo?
● Mejorar las prácticas gerenciales, tales como: comunicación, resolución de problemas, toma de decisiones, conflicto y negociación, delegación, gestión del cambio, motivación y gestión de equipos de alto desempeño. Necesidad de comprensión del propósito organizacional, y del aporte personal y grupal a dicho propósito.
","This program aims to provide tools for managers in companies and public organizations. To this end, the following objectives are pursued:
-To establish an environment of active participation in which the various aspects to consider in the training of middle managers are explored in order to achieve effective and high-performing working relationships based on trust and empathy.
-To investigate leadership skills and practices, and understand them within the specific organizational context (structure, strategy, and organizational culture): How does the division of tasks and their coordination facilitate or hinder people management? How does personal performance and reputation influence leadership development? What role do leaders play in shaping and maintaining organizational culture
-Review your own practices: What human, technical, or conceptual skills will be necessary to become a team leader? What aspects of the supervisor-supervisor relationship can be improved, and how, to create a more effective relationship? What practices are managers currently using? How are these practices affecting the organization's objectives? How do current practices bring us closer to or further from the organization's values?
-Understand different leadership styles according to the context and the groups: Which leadership style is most effective in each case? How can one's own leadership style be improved?
-To ponder on the meaning of the role of ""Boss"": Is it necessary to reshape the traditional conception of this type of position? What do companies ask of their ""Boss"" these days? Is ""traditional"" management still effective in times and environments of knowledge-based work? In what aspects does being a boss differ from being a leader? What factors contribute to building leadership?
-To improve management practices, such as communication, problem-solving, decision-making, conflict and negotiation, delegation, change management, motivation, and high-performing team management. A need for understanding the organizational purpose and the personal and group contribution to that purpose.","Gestión y seguridad","A convenir","Operarios / técnicos, Estudiantes de grado, Estudiantes de posgrado, Profesionales de la industria, Directivos","Intermedio","51 horas (ajustable a necesidades específicas)","Español","https://drive.google.com/drive/u/0/folders/12XKOF3ofJfvL5ikuSObLijQ7-sg71gQ4   https://drive.google.com/drive/u/0/folders/12XKOF3ofJfvL5ikuSObLijQ7-sg71gQ4","N/A","Participación/Asistencia","COMUNICACIÓN,  DESARROLLO DE EQUIPOS DE ALTO DESEMPEÑO, DELEGACIÓN EFECTIVA / COMMUNICATION, HIGH-PERFORMANCE TEAM DEVELOPMENT, EFFECTIVE DELEGATION","Lic. Daniel Natapof y Mg. Juan Martín Quiroga, jquiroga@unrn.edu.ar; María Paula Awe Luca mpaweluca@unrn.edu.ar"
"27",27,"Universidad Nacional De Río Negro","Metagenómica y Biotecnología para Economía Circular","Metagenomics and Biotechnology for a Circular Economy","Introducción a la ecología microbiana y su aplicación en la degradación y valorización de residuos poliméricos. Herramientas de bioinformática y metagenómica para el estudio del microbioma en ambientes impactados. Estrategias de bioprospección para identificar enzimas con capacidad de degradar plásticos. Bioeconomía y procesos sostenibles en la industria.","Introduction to microbial ecology and its application in the degradation and valorization of polymeric waste. Bioinformatics and metagenomics tools for studying the microbiome in impacted environments. Bioprospecting strategies to identify enzymes capable of degrading plastics. Bioeconomy and sustainable processes in industry.","Se lleva adelante mediante clases expositivas con ejercitación de aplicación","It is carried out through lectures with application exercises.","Innovación y tecnología","Virtual - Sincrónico, Presencial","Estudiantes de posgrado","Avanzado","50 HORAS","español","https://drive.google.com/file/d/1Fhv3Nla-7LGaxY5gDNFqtQyVF-QKePlA/view","Se evalua de manera presencial a partir de la defensa de una situación problemática a resolver","Aprobación, Participación/Asistencia","Metagenómica, Bioprocesos, Biodegradación / Metagenomics, Bioprocesses, Biodegradation.","Investigadora Paula Andrea Paez, ppaez@unrn.edu.ar; María Paula Awe Luca, mpaweluca@unrn.edu.ar"
"28",28,"Universidad Nacional De Río Negro","Formación de emprendedores","Entrepreneur training","Emprendedorismo, ideas y oportunidades de negocios La gestión empresarial Modelo de negocios Canvas Análisis de Costos Plan de Negocios Comunicación Gestión del tiempo y Metodologías ágiles","Entrepreneurship, ideas, and business opportunities Business management Business Model Canvas Cost analysis Business plan Communication Time management and agile methodologies","Este programa teórico-práctico, con modalidad de taller, busca generar y/o fortalecer las competencias y habilidades necesarias para desarrollar un emprendimiento competitivo. Para esto se propone hacer un recorrido por diversas temáticas fundamentales para que las y los emprendedores puedan detectar/construir oportunidades de negocios y potenciar su aprovechamiento. Para ello el programa recorre aspectos necesarios para el desarrollo de negocios exitosos: Introducción a la gestión: diferencia entre ideas y oportunidades de negocios; modelo de negocio; estrategia comercial; gestión de costos; gestión de equipos trabajo; y Metodologías ágiles y gestión del tiempo.
","This theoretical and practical workshop-style program aims to develop and/or strengthen the skills and competencies necessary to create a competitive business. To this end, it explores various fundamental topics so that entrepreneurs can identify and develop business opportunities and maximize their potential. The program covers aspects essential for developing successful businesses: Introduction to management: the difference between business ideas and opportunities; business model; commercial strategy; cost management; team management; and agile methodologies and time management.","Gestión y seguridad, a conversar en función del área del emprendimiento competitivo","A convenir","Operarios / técnicos, Estudiantes de grado, Estudiantes de posgrado, Profesionales de la industria","Intermedio","21 horas.","Español","https://drive.google.com/file/d/1j0R1JDzBwf9HxF9wq3CJ6jery3gwk9uX/view  https://drive.google.com/file/d/10qlZVWohPySvSzqbPL84Rsd6E7hMJeNl/view","N/A","Participación/Asistencia","Emprendedurismo, Gestión, emprendimientos sociales /  Entrepreneurship, Management, Social Enterprises","Lic. Daniel Natapof y Mg. Juan Martín Quiroga, jquiroga@unrn.edu.ar; María Paula Awe Luca, mpaweluca@unrn.edu.ar"
"29",29,"Pontificia Universidad Católica De Valparaíso","Herramientas para la Determinación de la Huella de Carbono y Análisis de Ciclo de Vida","Tools for Carbon Footprint Assessment and Life Cycle Analysis","Curso teórico-práctico que introduce metodología y etapas del ACV, herramientas como SimaPro, casos reales y ejercicios aplicados. Incluye talleres grupales para desarrollar ACV y Huella de Carbono, análisis comparativo y presentación de resultados técnicos.","The course provides theoretical and practical training in LCA methodology, including SimaPro use, real case studies, applied exercises, and group workshops for developing Carbon Footprint and LCA analyses, ending with a presentation of results.","El curso combina clases expositivas, análisis de casos y talleres grupales. Las actividades incluyen ejercicios prácticos con SimaPro, elaboración de inventarios, discusión guiada y una evaluación final basada en un informe y presentación grupal.","The course combines lectures, case analysis, and group workshops. Activities include practical exercises using SimaPro, inventory development, guided discussions, and a final assessment based on a group report and presentation.","Medioambiente","Presencial","Operarios / técnicos, Estudiantes de posgrado, Profesionales de la industria","Intermedio","30","Español","https://drive.google.com/drive/folders/1Myf5-2DF0ORFkqOSWhWUaRqT10vvxXA_?usp=sharing","Evaluación mediante un trabajo grupal sobre ACV y Huella de Carbono, que incluye informe escrito y presentación final. Escala 1.0 a 7.0; aprobación con nota mínima 4.0.  Assessment through a group project on LCA and Carbon Footprint, including a written report and a final presentation. Grading scale: 1.0 to 7.0, with a minimum passing score of 4.0.","Aprobación","huella de carbono, ACV, sostenibilidad / carbon footprint, LCA, sustainability","Coordinación de Capacitación NBC capacitacion@nbcpucv.cl +56322274824"
"30",30,"Pontificia Universidad Católica De Valparaíso","Diplomado en Economía Circular y Gestión de Residuos","Diploma in Circular Economy and Waste Management","Programa que aborda modelos de producción circular, Ley de Responsabilidad Extendida del Productor, gestión integral de residuos, ecodiseño, análisis normativo y excelencia operacional en sostenibilidad. Incluye revisión de casos, trabajo aplicado en módulos y enfoque práctico para implementar estrategias circulares.","Program covering circular production models, the Extended Producer Responsibility Law (EPR), integrated waste management, ecodesign, regulatory frameworks, and operational excellence in sustainability. Includes case analysis, applied module work, and practical tools to implement circular strategies.","Diplomado dictado en modalidad virtual sincrónica, con clases en vivo, actividades aplicadas por módulo y trabajo en clase para reforzar contenidos. Las sesiones combinan exposiciones teóricas, ejercicios guiados y análisis de experiencias reales de implementación.","This diploma is delivered through synchronous virtual classes, with live lectures, applied module activities, and in-class exercises. Sessions combine theoretical instruction, guided practice, and analysis of real implementation experiences.","Medioambiente, Gestión y seguridad","Virtual - Sincrónico","Operarios / técnicos, Profesionales de la industria","Intermedio","100","Español","https://drive.google.com/drive/folders/1inks9h7VSxdhTUR1W44tIsM60XDXYoAs?usp=sharing","Evaluación por módulos mediante actividades prácticas en clase y ejercicios guiados. Incluye pruebas online y un enfoque progresivo según contenidos de cada unidad. Las sesiones contemplan aplicación de normativa, análisis y trabajo estructurado.  Assessment per module through practical in-class activities and guided exercises. Includes online tests and progressive evaluation aligned with each module’s content, including regulation analysis and applied work.","Aprobación","economía circular, residuos, Ley REP / circular economy, waste, EPR law","Coordinación de Capacitación NBC capacitacion@nbcpucv.cl +56322274824"
"31",31,"Pontificia Universidad Católica De Valparaíso","Diplomado en Medición, Reporte y Verificación de Emisiones y Reducciones de GEI","Diploma in Measurement, Reporting and Verification of GHG Emissions and Reductions","Diplomado orientado a formar especialistas en MRV de emisiones y reducciones de GEI para certificación voluntaria. Aborda conceptos de cambio climático, metodologías internacionales, cuantificación de emisiones, reporte, verificación, normativa vigente y casos prácticos aplicados a distintos sectores productivos.","Diploma aimed at training specialists in GHG emission and reduction MRV for voluntary certification. Covers climate change concepts, international methodologies, emission quantification, reporting, verification, current regulations, and practical case studies across productive sectors.","El diplomado se dicta mediante clases online sincrónicas, actividades en plataforma e-learning, desarrollo de ejercicios aplicados, trabajo colaborativo y evaluaciones por módulo. Incluye revisión de normativa, análisis de factores de emisión y uso de guías y manuales técnicos.","The diploma is delivered through synchronous online lectures, e-learning activities, applied exercises, collaborative work, and module-based assessments. Includes review of regulations, analysis of emission factors, and use of technical guides and manuals.","Medioambiente, Gestión y seguridad, Emisiones de Gases de Efecto Invernadero","Virtual - Sincrónico, Virtual - Asincrónico","Operarios / técnicos, Profesionales de la industria","Intermedio","90","Español","https://drive.google.com/drive/folders/1DQToRCXQrucHWcFnPYZQtIIWFhqr2Cs-?usp=sharing","Evaluación mediante pruebas en línea, actividades por módulo y un examen integrador. Se aplican técnicas escritas con preguntas objetivas y desarrollo, además de ejercicios prácticos. Escala 1.0-7.0, con nota mínima 4.0.  Assessment through online tests, module-based assignments, and a final integrative exam. Includes written evaluations with objective and open questions, as well as applied exercises. Grading uses a 1.0-7.0 scale with a minimum passing score of 4.0.","Aprobación","GEI, MRV, emisiones / GHG, MRV, emissions","Coordinación de Capacitación NBC capacitacion@nbcpucv.cl +56322274824"
"32",32,"Pontificia Universidad Católica De Valparaíso","Diplomado en Normativa y Química Ambiental","Diploma in Environmental Regulation and Chemistry","El diplomado entrega conocimientos para aplicar criterios analíticos a problemáticas ambientales, sus efectos tóxicos y el control de la contaminación. Forma en gestión de proyectos según normativa vigente y en el análisis de muestras ambientales, abordando toma, tratamiento, análisis e interpretación de resultados en distintas etapas.","The diploma provides knowledge on how to apply analytical criteria to environmental issues, their toxic effects, and pollution control. It trains students in project management in accordance with current regulations and in the analysis of environmental samples, addressing sampling, treatment, analysis, and interpretation of results at different stages.","El curso se basa en el aprendizaje activo, mediante el análisis de casos reales y tutorías personalizadas. Se promueve una formación interdisciplinaria orientada a la sustentabilidad.","The course uses active learning through real case analysis and academic mentoring. It promotes interdisciplinary training focused on sustainability.","Medioambiente, Procesos químicos","Presencial","Estudiantes de grado, Profesionales de la industria","Intermedio","""Horas de dictado: 120 horas Carga horaria estimada: 180 horas","Español","https://drive.google.com/drive/folders/1JnbBntC4OHzEq4e7b4VSUZGxu2eR-E1W?usp=sharing","""ESPAÑOL: Se evalúa mediante trabajos aplicados y participación activa en el desarrollo de casos reales. INGLÉS: Evaluation is based on applied assignments and active participation in real case development.","Aprobación","""ESPAÑOL: normativa ambiental, sustentabilidad, química INGLÉS: environmental regulation, sustainability, chemistry","datyc.quimica@pucv.cl"
"33",33,"Pontificia Universidad Católica De Valparaíso","Diplomado en Materiales para la Ingeniería","Diploma in Materials for Engineering","Profundiza en las propiedades, aplicaciones e identificación de materiales para ingeniería, con énfasis en polímeros para envases, compuestos, mecanismos de falla y métodos de detección. Incluye modelado de sólidos y análisis de desgaste/corrosión. El programa considera sesiones prácticas virtuales y resolución de casos.","In-depth study of the properties, applications, and identification of engineering materials, focusing on polymers for packaging, composites, failure mechanisms, and detection methods. Includes solid modeling and analysis of wear/corrosion. The program features virtual practical sessions and case studies.","El curso se imparte en modalidad online sincrónica, a través de videoconferencias en tiempo real. Las clases se realizan los viernes y sábados, combinando sesiones teóricas, análisis de casos y actividades prácticas supervisadas por académicos expertos y profesionales del sector.","The course is delivered in synchronous online mode through live videoconferences. Classes are held on Fridays and Saturdays, combining theoretical sessions, case analysis, and practical activities supervised by expert academics and professionals from the field.","Plásticos y polímeros, Medioambiente, Innovación y tecnología","Virtual - Sincrónico","Operarios / técnicos, Profesionales de la industria","Avanzado","""Horas de dictado: 132 horas Carga horaria estimada: 160 horas""","Español","https://drive.google.com/drive/folders/1vo2xyBAZrAEe4ol1_tLOznJO3Wtlxbgc?usp=sharing","""Evaluación continua mediante trabajos aplicados, análisis de casos, participación en clases y pruebas por módulo. Evaluation: Ongoing evaluation through applied work, case analysis, class participation, and module assessments.","Aprobación","""Español: Materiales, Polímeros, Envases  Inglés: Materials, Polymers, Packaging""","Cristóbal Galleguillos Ketterer, cristobal.galleguillos@pucv.cl"
"34",34,"Pontificia Universidad Católica De Valparaíso","Diplomado en Acción Climática","Diploma in Climate Action","Se abordan herramientas y estrategias para la acción climática a nivel territorial, con énfasis en gobernanza, sustentabilidad, economía circular y mitigación. Incluye casos prácticos y aplicación de metodologías activas para el diseño e implementación de estrategias en contextos reales.","Tools and strategies for climate action at territorial level, with emphasis on governance, sustainability, circular economy and mitigation. Includes practical cases and active learning methodologies applied to real-world contexts.","El curso combina clases teóricas con trabajo aplicado, uso de estudios de caso nacionales, diseño de estrategias reales y participación de actores públicos y privados. Metodología participativa con enfoque en aprendizaje activo y colaborativo.","The program combines theoretical classes with applied work, national case studies, design of real strategies and participation of public and private actors. It uses participatory methodologies with a focus on active and collaborative learning.","Medioambiente","Virtual - Sincrónico","Profesionales de la industria","Intermedio","""Horas de dictado: 102 horas Carga horaria estimada: 130 horas""","Español","https://drive.google.com/drive/folders/1NIDSCjTID_Teky1rLZBC0Flbyi7XQ-Vd?usp=sharing","""ESPAÑOL: Evaluación basada en desarrollo de estrategias territoriales, participación activa y entrega de proyecto final. ENGLISH: Evaluation based on development of territorial strategies, active participation, and final project delivery.""","Aprobación","ESPAÑOL: acción climática, sustentabilidad, economía circular INGLÉS: climate action, sustainability, circular economy""","accionclimatica@pucv.cl"
"35",35,"Pontificia Universidad Católica De Valparaíso","Diplomado Internacional en Innovación","International Diploma in Innovation","Se abordan modelos y herramientas para la gestión de innovación, desde la generación de ideas hasta su implementación. Se trabaja con metodologías como Design Thinking y Lean Startup, y se revisan experiencias y buenas prácticas internacionales. Incluye aplicación práctica en contextos organizacionales reales.","Covers models and tools for innovation management, from idea generation to implementation. Methodologies such as Design Thinking and Lean Startup are explored, along with international best practices. Includes practical application in real organizational contexts.","El diplomado combina clases sincrónicas en línea, trabajo individual y colaborativo, análisis de casos, participación de docentes internacionales y aplicación práctica en desafíos de innovación.","The program combines online live sessions, individual and group work, case analysis, contributions from international lecturers, and practical application to innovation challenges.","Innovación y tecnología","Virtual - Sincrónico","Estudiantes de posgrado, Profesionales de la industria","Intermedio","Horas de dictado: 96 Carga horaria estimada: 144""","Español","https://drive.google.com/drive/folders/1dgs2kzerCwSEJgY02XuORbAaOISph8SI?usp=sharing","""ESPAÑOL: Evaluación basada en participación, actividades prácticas y presentación de propuestas de innovación. INGLÉS: Evaluation based on participation, practical activities, and presentation of innovation proposals.""","Aprobación","Español: innovación, estrategia, gestión Inglés: innovation, strategy, management""","diplomados.cii@pucv.cl"
"36",36,"Pontificia Universidad Católica De Valparaíso","Introducción a Impresión 3D y Corte Láser","Introduction to 3D Printing and Laser Cutting","Fundamentos de fabricación digital, uso seguro y práctico de impresoras 3D y cortadoras láser, parámetros básicos de operación, software de diseño, y desarrollo de un prototipo funcional. Incluye sesiones prácticas en taller.","Basics of digital fabrication, safe and practical use of 3D printers and laser cutters, key operational parameters, design software, and development of a functional prototype. Includes hands-on lab sessions.","Capacitaciones semanales abiertas a toda la comunidad PUCV y entorno emprendedor. Combinan sesiones teóricas y prácticas en el ValpoMaker, donde los participantes aplican lo aprendido desarrollando piezas reales.","Weekly training sessions open to the PUCV community and local entrepreneurs. Combines theory and hands-on learning at ValpoMaker, enabling participants to fabricate real components and prototypes.","Innovación y tecnología","Presencial","Operarios / técnicos, Estudiantes de grado, Estudiantes de posgrado, Profesionales de la industria","Introductorio / básico","8 horas efectivas / 12 horas estimadas","Español","https://drive.google.com/drive/folders/1nFDiiXHKoAbt97M9dAo1cxWI_zeDSk1W?usp=sharing","""Español: Evaluación práctica mediante la fabricación de un prototipo funcional. Inglés: Practical evaluation through the fabrication of a functional prototype.""","Otra","""impresión 3D / corte láser / prototipado 3D printing / laser cutting / prototyping""","""Carolina Marcela Escobar Inostroza carolina.escobar@pucv.cl Cesar Eduardo Cofre Reyes cesar.cofre@pucv.cl Patricia Olave Rocuant patricia.olave@pucv.cl"
"37",37,"Universidad Nacional Del Sur","Capacitación básica sobre clasificación y reciclado mecánico de plásticos","Basic training on plastic classification and mechanical recycling","El temario incluye conceptos básicos desde qué son los plásticos y cómo se comportan bajo distintas solicitaciones, hasta por qué es importante no mezclarlos. Se abordarán, además, temas relativos a la clasificación de plásticos con técnicas accesibles, conceptos y criterios básicos de reciclado mecánico y medidas de seguridad a tener en cuenta en el proceso. Asimismo, se analizará el rol ambiental del trabajo de clasificación dentro de la economía circular de estos materiales.","The course covers basic topics such as what plastics are and how they behave under different conditions, and why it is important not to mix them. It also includes topics related to plastic classification using accessible techniques, fundamental concepts and criteria of mechanical recycling, and safety procedures to be considered during the process. In addition, the environmental role of sorting activities within the circular economy of these materials will be analyzed.","La capacitación contempla un enfoque participativo incluyendo la experiencia específica de los miembros de la audiencia. Se utilizarán preguntas disparadoras, orientadas a facilitar la comprensión y apropiación de contenidos a través de situaciones reales de trabajo. Se priorizará el uso de recursos visuales, ejemplos concretos y actividades prácticas con materiales reales, promoviendo el aprendizaje por observación, comparación y reflexión colectiva. A lo largo de la capacitación, se tratará de correlacionar los saberes técnicos con la experiencia de los participantes en sus tareas cotidianas, generando un espacio de construcción conjunta del conocimiento. La metodología combina exposiciones breves, dinámicas de grupo, ejercicios de reconocimiento y clasificación de plásticos, y elaboración de pautas simples de separación, todo ello adaptado al contexto operativo de la empresa/cooperativa. Esta estrategia busca fortalecer habilidades técnicas clave para la mejora de los procesos de separación y valorización, promoviendo prácticas más eficientes y ambientalmente responsables.","The training adopts a participatory approach that incorporates the specific experience of the participants. Guiding questions will be used to facilitate understanding and engagement with the content through real work situations. Emphasis will be placed on visual resources, concrete examples, and hands-on activities with real materials, encouraging learning through observation, comparison, and collective reflection. Throughout the sessions, efforts will be made to connect technical knowledge with the participants’ everyday experience, creating a space for joint knowledge building. The methodology combines short presentations, group dynamics, exercises for identifying and classifying plastics, and the development of simple sorting guidelines, all adapted to the operational context of the company/cooperative. This approach aims to strengthen key technical skills for improving separation and recovery processes, while promoting more efficient and environmentally responsible practices.","Plásticos y polímeros, Medioambiente","In Company","Personal abocado a actividades relativas a la separación y reciclado mecánico de plásticos","Introductorio / básico","5 hs/día - 2 días","Español","https://www.freepik.es/foto-gratis/basura-plastica-cinta-transportadora-fabrica-reciclaje-residuos-trabajadores-fondo_59152071.htm#from_element=cross_selling__photo","Al finalizar cada clase se utilizarán herramientas interactivas de ocio para fijar los conceptos aprendidos.","Participación/Asistencia","RESIDUOS PLÁSTICOS, RECICLADO, SOSTENIBILIDAD/PLASTIC WASTE, RECYCLING, SUSTAINABILITY","Dra. Yamila V. Vazquez yvazquez@plapiqui.edu.ar"
